Monday,to,Friday
7 00,7 09,7 20
7 45,7 54,8 05
8 30,8 39,8 50
9 15,9 24,9 35
10 00,10 09,10 20
10 45,10 54,11 05
11 30,11 39,11 50
12 15,12 24,12 35
13 00,13 09,13 20
13 45,13 54,14 05 
14 30,14 39,14 50
15 15,15 24,15 35
16 00,16 09,16 20
16 45,16 54,17 05
17 30,17 39,17 50
18 15,18 24,18 35
19 00,19 09,19 20
19 45,19 54,20 05
20 45,20 54,21 05
21 45,21 54,22 05
22 45,22 54,23 05
23 45,23 54,00 05
